Property URL,MLS ID,Property type,Number of days on Zillow,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Image URL,Street address,City,Zip,State,Country,Latitude,Longitude,Project Type,Curb Appeal,Kitchen,Bathroom,Flooring,Yard,Pool,Walk in Closet,Primary Suite,Flow,Laundry Room,Patio,Energy Star Windows,Exterior Lighting,Ceiling Fan,Garage Storage,Front Porch,Hardwood Flooring,Full Bath Main Level,Energy Star Appliances,Walk In Pantry,Landscaping,Table Space in Kitchen
https://www.zillow.com/homedetails/1255-Pickett-St-Sonoma-CA-95476/15829861_zpid/,,Single Family,20,810000,7/9/2024,1384,sqft,585.26,3358.48,sqft,3,3,https://photos.zillowstatic.com/fp/f28a5e4c57a71a9fdd6e326828cadb7a-p_e.jpg,1255 Pickett St,Sonoma,95476,CA,USA,38.27869,-122.464,Small Projects,4,6,2,2,1,0,3,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/113-S-Temelec-Cir-Sonoma-CA-95476/15838173_zpid/,,Single Family,28,680000,7/1/2024,1273,sqft,534.17,5458.07,sqft,2,2,https://photos.zillowstatic.com/fp/3db43de755eb568d2a472f4fd4f6c100-p_e.jpg,113 S Temelec Cir,Sonoma,95476,CA,USA,38.26278,-122.487,Small Projects,10,7,10,7,10,1,1,9,10,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/1177-Broadway-Sonoma-CA-95476/2055303742_zpid/,,Single Family,28,900000,7/1/2024,3168,sqft,284.09,10877,sqft,3,3,https://photos.zillowstatic.com/fp/c0f1e4f4f3b94f85418864acbc2e1713-p_e.jpg,1177 Broadway,Sonoma,95476,CA,USA,38.28,-122.46,Small Projects,10,6,10,3,2,1,4,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/19167-Robinson-Rd-APT-Z-Sonoma-CA-95476/15828846_zpid/,,Townhouse,31,650000,########,1320,sqft,492.42,1752,sqft,2,2,https://photos.zillowstatic.com/fp/dcff17c9937ca71ff726d9d92dff12a7-p_e.jpg,19167 Robinson Rd APT Z,Sonoma,95476,CA,USA,38.29956,-122.473,Turn Key,6,9,9,8,2,1,7,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/91-Vineyard-Cir-Sonoma-CA-95476/15837553_zpid/,,Single Family,31,675000,########,1568,sqft,430.48,3598.06,sqft,3,2,https://photos.zillowstatic.com/fp/2c2e660dd135793235e47a97775c4c8c-p_e.jpg,91 Vineyard Cir,Sonoma,95476,CA,USA,38.26646,-122.494,Small Projects,3,2,2,5,6,0,1,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/775-Istvan-Rd-Sonoma-CA-95476/15828336_zpid/,,Single Family,32,1000000,########,2057,sqft,486.14,9125.82,sqft,3,2,https://photos.zillowstatic.com/fp/ec374df8aad1729e200ae25f781c03e6-p_e.jpg,775 Istvan Rd,Sonoma,95476,CA,USA,38.30534,-122.472,Small Projects,1,1,4,7,5,1,9,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/890-Center-St-Sonoma-CA-95476/15797577_zpid/,,Single Family,34,551250,########,1392,sqft,396.01,7000,sqft,3,2,https://photos.zillowstatic.com/fp/03472249b964a1d44396c5fa3636ed24-p_e.jpg,890 Center St,Sonoma,95476,CA,USA,38.29738,-122.489,Small Projects,10,6,7,8,3,1,3,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/21-Vineyard-Cir-Sonoma-CA-95476/15837506_zpid/,,Condominium,35,475000,########,1008,sqft,471.23,1742.4,sqft,2,2,https://photos.zillowstatic.com/fp/50e8735538c88f15620c62b519fa67d5-p_e.jpg,21 Vineyard Cir,Sonoma,95476,CA,USA,38.26542,-122.491,Small Projects,4,7,10,5,4,1,9,7,9,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/1231-Herbazal-St-Sonoma-CA-95476/15838121_zpid/,,Single Family,35,569000,########,1040,sqft,547.12,6475,sqft,2,2,https://photos.zillowstatic.com/fp/1c1121ef4a21f264109190fc50d7540c-p_e.jpg,1231 Herbazal St,Sonoma,95476,CA,USA,38.26435,-122.488,Small Projects,1,7,8,7,10,1,3,9,4,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/432-E-Napa-St-Sonoma-CA-95476/15769938_zpid/,,Single Family,38,975000,########,1162,sqft,839.07,0.3,acres,2,1,,432 E Napa St,Sonoma,95476,CA,USA,38.2913,-122.449,Small Projects,1,2,3,10,10,0,8,9,8,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/280-Pickett-St-Sonoma-CA-95476/15829843_zpid/,,Single Family,41,835000,########,1134,sqft,736.33,4186.12,sqft,2,2,https://photos.zillowstatic.com/fp/442c7afe6333fe472fd8e474e7388384-p_e.jpg,280 Pickett St,Sonoma,95476,CA,USA,38.27974,-122.465,Small Projects,2,10,8,2,2,1,10,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/774-Crocus-Dr-Sonoma-CA-95476/15837998_zpid/,,Single Family,41,895000,########,1700,sqft,526.47,6599.34,sqft,2,2,https://photos.zillowstatic.com/fp/cc19f20d0aacb297d57d3d9dad07c7c3-p_e.jpg,774 Crocus Dr,Sonoma,95476,CA,USA,38.26453,-122.5,Small Projects,3,4,2,6,3,1,4,3,9,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/4136-White-Alder-Sonoma-CA-95476/15838095_zpid/,,Single Family,41,895000,########,4479,sqft,199.82,5.12,acres,2,2.5,,4136 White Alder,Sonoma,95476,CA,USA,38.28503,-122.537,Small Projects,10,10,4,3,2,0,9,5,7,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/956-Madrone-Rd-Glen-Ellen-CA-95442/15799546_zpid/,,Single Family,45,784000,########,1342,sqft,584.2,6098,sqft,3,2,,956 Madrone Rd,Glen Ellen,95442,CA,USA,38.33875,-122.512,Small Projects,1,8,9,3,8,1,4,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/956-Madrone-Rd-Sonoma-CA-95476/2086136327_zpid/,,Single Family,45,784000,########,1342,sqft,584.2,6199,sqft,3,2,https://photos.zillowstatic.com/fp/2f6c2631c6ad757913b7f4308931ef12-p_e.jpg,956 Madrone Rd,Sonoma,95476,CA,USA,38.33875,-122.512,Small Projects,3,10,2,6,3,1,2,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/17341-Highway-12-Sonoma-CA-95476/15800479_zpid/,,Single Family,46,845000,########,989,sqft,854.4,0.4,acres,2,1,,17341 Highway 12,Sonoma,95476,CA,USA,38.32047,-122.486,Small Projects,1,8,8,6,1,1,9,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/744-1st-St-W-Sonoma-CA-95476/54787530_zpid/,,Condominium,47,689000,########,1020,sqft,675.49,435,sqft,1,2,https://photos.zillowstatic.com/fp/2e7d378dbc51bf071c67829bb35ef020-p_e.jpg,744 1st St W,Sonoma,95476,CA,USA,38.28779,-122.459,Small Projects,1,7,8,2,2,0,5,9,7,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/969-Donald-St-Sonoma-CA-95476/15827659_zpid/,,Single Family,48,532000,########,648,sqft,820.99,3301.85,sqft,1,1,https://photos.zillowstatic.com/fp/4dfd269f68e810eb3eca5c5758291acb-p_e.jpg,969 Donald St,Sonoma,95476,CA,USA,38.30456,-122.476,Small Projects,1,7,10,1,10,0,7,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/437-Andrieux-St-Sonoma-CA-95476/15770220_zpid/,,Single Family,49,760000,########,1147,sqft,662.6,7876,sqft,3,1,https://photos.zillowstatic.com/fp/4adb0a09e49a2bef3d8f91760a7d0d40-p_e.jpg,437 Andrieux St,Sonoma,95476,CA,USA,38.28849,-122.467,Small Projects,1,7,5,2,6,1,4,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/1451-Mission-Dr-Sonoma-CA-95476/15837584_zpid/,,Single Family,52,470000,6/7/2024,960,sqft,489.58,1599,sqft,2,2,https://photos.zillowstatic.com/fp/316b05f3d394bcd6fac4accee26aecb7-p_e.jpg,1451 Mission Dr,Sonoma,95476,CA,USA,38.26439,-122.492,Small Projects,7,2,10,1,9,0,10,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/498-Arroyo-Rd-Sonoma-CA-95476/15801128_zpid/,,Single Family,53,880000,6/6/2024,1155,sqft,761.9,7801.6,sqft,2,2,https://photos.zillowstatic.com/fp/60151fe43dd963416585d64a1e3abade-p_e.jpg,498 Arroyo Rd,Sonoma,95476,CA,USA,38.3145,-122.478,Small Projects,7,3,3,5,4,0,8,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/17320-Keaton-Ave-Sonoma-CA-95476/15800496_zpid/,,Single Family,54,980000,6/5/2024,1256,sqft,780.25,8712,sqft,2,2,https://photos.zillowstatic.com/fp/c96cc5de6faf8d636c1b1a6371c5a121-p_e.jpg,17320 Keaton Ave,Sonoma,95476,CA,USA,38.3219,-122.485,Small Projects,6,10,3,2,6,0,3,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/677-Crocus-Dr-Sonoma-CA-95476/15837973_zpid/,,Single Family,54,945000,6/5/2024,1532,sqft,616.84,5401.44,sqft,2,2,https://photos.zillowstatic.com/fp/1ce2e77d8992170b89f00e103e57f821-p_e.jpg,677 Crocus Dr,Sonoma,95476,CA,USA,38.26488,-122.499,Big Project,1,1,3,1,6,0,5,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/641-1st-St-W-Sonoma-CA-95476/64665280_zpid/,,Single Family,55,856250,6/4/2024,1364,sqft,627.75,2518,sqft,2,3,https://photos.zillowstatic.com/fp/7dd75f160f70f833c9f1d3af9ba488cf-p_e.jpg,641 1st St W,Sonoma,95476,CA,USA,38.28984,-122.46,Small Projects,10,4,2,1,5,1,2,10,8,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/195-Orchard-Ave-Sonoma-CA-95476/15801024_zpid/,,Single Family,59,683000,########,1085,sqft,629.49,4251.46,sqft,2,2,https://photos.zillowstatic.com/fp/4263f2701cd9e7f8473f7e48fe2dc3ee-p_e.jpg,195 Orchard Ave,Sonoma,95476,CA,USA,38.31249,-122.485,Small Projects,5,5,1,2,7,0,8,9,4,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/179-Guadalupe-Dr-Sonoma-CA-95476/15819410_zpid/,,Condominium,59,648000,########,1146,sqft,565.45,5001,sqft,2,2,https://photos.zillowstatic.com/fp/d5d0f1b24760b73b5010944be7c14728-p_e.jpg,179 Guadalupe Dr,Sonoma,95476,CA,USA,38.29742,-122.455,Small Projects,8,8,1,10,6,1,6,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/1055-Heaven-Hill-Rd-Glen-Ellen-CA-95442/184920827_zpid/,,Single Family,59,388000,########,,,,1.8,acres,,,,1055 Heaven Hill Rd,Glen Ellen,95442,CA,USA,38.33379,-122.511,Small Projects,6,9,10,6,10,1,4,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-
